node,metric,values
8,deg,"[0.15151515151515152, 0.15151515151515152, 0.15151515151515152, 0.15151515151515152, 0.15151515151515152]"
8,bet,"[0.05592682780182781, 0.05592682780182781, 0.05592682780182781, 0.05592682780182781, 0.05592682780182781]"
8,clo,"[0.515625, 0.515625, 0.515625, 0.515625, 0.515625]"
8,clu,"[0.5, 0.5, 0.5, 0.5, 0.5]"
9,deg,"[0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061]"
9,bet,"[0.0008477633477633478, 0.0008477633477633478, 0.0008477633477633478, 0.0008477633477633478, 0.0008477633477633478]"
9,clo,"[0.4342105263157895, 0.4342105263157895, 0.4342105263157895, 0.4342105263157895, 0.4342105263157895]"
9,clu,"[0, 0, 0, 0, 0]"
10,deg,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]"
10,bet,"[0.0006313131313131313, 0.0006313131313131313, 0.0006313131313131313, 0.0006313131313131313, 0.0006313131313131313]"
10,clo,"[0.3793103448275862, 0.3793103448275862, 0.3793103448275862, 0.3793103448275862, 0.3793103448275862]"
10,clu,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]"
11,deg,"[0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304, 0.030303030303030304]"
11,bet,"[0.0, 0.0, 0.0, 0.0, 0.0]"
11,clo,"[0.36666666666666664, 0.36666666666666664, 0.36666666666666664, 0.36666666666666664, 0.36666666666666664]"
11,clu,"[0, 0, 0, 0, 0]"
12,deg,"[0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061]"
12,bet,"[0.0, 0.0, 0.0, 0.0, 0.0]"
12,clo,"[0.3707865168539326, 0.3707865168539326, 0.3707865168539326, 0.3707865168539326, 0.3707865168539326]"
12,clu,"[1.0, 1.0, 1.0, 1.0, 1.0]"
13,deg,"[0.15151515151515152, 0.15151515151515152, 0.15151515151515152, 0.15151515151515152, 0.15151515151515152]"
13,bet,"[0.04586339586339586, 0.04586339586339586, 0.04586339586339586, 0.04586339586339586, 0.04586339586339586]"
13,clo,"[0.515625, 0.515625, 0.515625, 0.515625, 0.515625]"
13,clu,"[0.6, 0.6, 0.6, 0.6, 0.6]"
14,deg,"[0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061]"
14,bet,"[0.0, 0.0, 0.0, 0.0, 0.0]"
14,clo,"[0.3707865168539326, 0.3707865168539326, 0.3707865168539326, 0.3707865168539326, 0.3707865168539326]"
14,clu,"[1.0, 1.0, 1.0, 1.0, 1.0]"
15,deg,"[0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061]"
15,bet,"[0.0, 0.0, 0.0, 0.0, 0.0]"
15,clo,"[0.3707865168539326, 0.3707865168539326, 0.3707865168539326, 0.3707865168539326, 0.3707865168539326]"
15,clu,"[1.0, 1.0, 1.0, 1.0, 1.0]"
16,deg,"[0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061]"
16,bet,"[0.0, 0.0, 0.0, 0.0, 0.0]"
16,clo,"[0.28448275862068967, 0.28448275862068967, 0.28448275862068967, 0.28448275862068967, 0.28448275862068967]"
16,clu,"[1.0, 1.0, 1.0, 1.0, 1.0]"
17,deg,"[0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061]"
17,bet,"[0.0, 0.0, 0.0, 0.0, 0.0]"
17,clo,"[0.375, 0.375, 0.375, 0.375, 0.375]"
17,clu,"[1.0, 1.0, 1.0, 1.0, 1.0]"
18,deg,"[0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061]"
18,bet,"[0.0, 0.0, 0.0, 0.0, 0.0]"
18,clo,"[0.3707865168539326, 0.3707865168539326, 0.3707865168539326, 0.3707865168539326, 0.3707865168539326]"
18,clu,"[1.0, 1.0, 1.0, 1.0, 1.0]"
19,deg,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]"
19,bet,"[0.03247504810004811, 0.03247504810004811, 0.03247504810004811, 0.03247504810004811, 0.03247504810004811]"
19,clo,"[0.5, 0.5, 0.5, 0.5, 0.5]"
19,clu,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
20,deg,"[0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061]"
20,bet,"[0.0, 0.0, 0.0, 0.0, 0.0]"
20,clo,"[0.3707865168539326, 0.3707865168539326, 0.3707865168539326, 0.3707865168539326, 0.3707865168539326]"
20,clu,"[1.0, 1.0, 1.0, 1.0, 1.0]"
21,deg,"[0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061]"
21,bet,"[0.0, 0.0, 0.0, 0.0, 0.0]"
21,clo,"[0.375, 0.375, 0.375, 0.375, 0.375]"
21,clu,"[1.0, 1.0, 1.0, 1.0, 1.0]"
22,deg,"[0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061]"
22,bet,"[0.0, 0.0, 0.0, 0.0, 0.0]"
22,clo,"[0.3707865168539326, 0.3707865168539326, 0.3707865168539326, 0.3707865168539326, 0.3707865168539326]"
22,clu,"[1.0, 1.0, 1.0, 1.0, 1.0]"
23,deg,"[0.15151515151515152, 0.15151515151515152, 0.15151515151515152, 0.15151515151515152, 0.15151515151515152]"
23,bet,"[0.017613636363636363, 0.017613636363636363, 0.017613636363636363, 0.017613636363636363, 0.017613636363636363]"
23,clo,"[0.39285714285714285, 0.39285714285714285, 0.39285714285714285, 0.39285714285714285, 0.39285714285714285]"
23,clu,"[0.4, 0.4, 0.4, 0.4, 0.4]"
24,deg,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]"
24,bet,"[0.0022095959595959595, 0.0022095959595959595, 0.0022095959595959595, 0.0022095959595959595, 0.0022095959595959595]"
24,clo,"[0.375, 0.375, 0.375, 0.375, 0.375]"
24,clu,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
25,deg,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]"
25,bet,"[0.0038404882154882154, 0.0038404882154882154, 0.0038404882154882154, 0.0038404882154882154, 0.0038404882154882154]"
25,clo,"[0.375, 0.375, 0.375, 0.375, 0.375]"
25,clu,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
26,deg,"[0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061]"
26,bet,"[0.0, 0.0, 0.0, 0.0, 0.0]"
26,clo,"[0.3626373626373626, 0.3626373626373626, 0.3626373626373626, 0.3626373626373626, 0.3626373626373626]"
26,clu,"[1.0, 1.0, 1.0, 1.0, 1.0]"
27,deg,"[0.12121212121212122, 0.12121212121212122, 0.12121212121212122, 0.12121212121212122, 0.12121212121212122]"
27,bet,"[0.02233345358345358, 0.02233345358345358, 0.02233345358345358, 0.02233345358345358, 0.02233345358345358]"
27,clo,"[0.4583333333333333, 0.4583333333333333, 0.4583333333333333, 0.4583333333333333, 0.4583333333333333]"
27,clu,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]"
28,deg,"[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091]"
28,bet,"[0.0017947330447330447, 0.0017947330447330447, 0.0017947330447330447, 0.0017947330447330447, 0.0017947330447330447]"
28,clo,"[0.4520547945205479, 0.4520547945205479, 0.4520547945205479, 0.4520547945205479, 0.4520547945205479]"
28,clu,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
29,deg,"[0.12121212121212122, 0.12121212121212122, 0.12121212121212122, 0.12121212121212122, 0.12121212121212122]"
29,bet,"[0.0029220779220779218, 0.0029220779220779218, 0.0029220779220779218, 0.0029220779220779218, 0.0029220779220779218]"
29,clo,"[0.38372093023255816, 0.38372093023255816, 0.38372093023255816, 0.38372093023255816, 0.38372093023255816]"
29,clu,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]"
30,deg,"[0.12121212121212122, 0.12121212121212122, 0.12121212121212122, 0.12121212121212122, 0.12121212121212122]"
30,bet,"[0.014411976911976909, 0.014411976911976909, 0.014411976911976909, 0.014411976911976909, 0.014411976911976909]"
30,clo,"[0.4583333333333333, 0.4583333333333333, 0.4583333333333333, 0.4583333333333333, 0.4583333333333333]"
30,clu,"[0.5, 0.5, 0.5, 0.5, 0.5]"
31,deg,"[0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182, 0.18181818181818182]"
31,bet,"[0.13827561327561325, 0.13827561327561325, 0.13827561327561325, 0.13827561327561325, 0.13827561327561325]"
31,clo,"[0.5409836065573771, 0.5409836065573771, 0.5409836065573771, 0.5409836065573771, 0.5409836065573771]"
31,clu,"[0.2, 0.2, 0.2, 0.2, 0.2]"
32,deg,"[0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365]"
32,bet,"[0.145247113997114, 0.145247113997114, 0.145247113997114, 0.145247113997114, 0.145247113997114]"
32,clo,"[0.515625, 0.515625, 0.515625, 0.515625, 0.515625]"
32,clu,"[0.19696969696969696, 0.19696969696969696, 0.19696969696969696, 0.19696969696969696, 0.19696969696969696]"
33,deg,"[0.5151515151515151, 0.5151515151515151, 0.5151515151515151, 0.5151515151515151, 0.5151515151515151]"
33,bet,"[0.30407497594997596, 0.30407497594997596, 0.30407497594997596, 0.30407497594997596, 0.30407497594997596]"
33,clo,"[0.55, 0.55, 0.55, 0.55, 0.55]"
33,clu,"[0.11029411764705882, 0.11029411764705882, 0.11029411764705882, 0.11029411764705882, 0.11029411764705882]"
